 ,Name,Address,District,Type,Lat,Long
0,Mal Taman Anggrek,"Jl. Letjen. S Parman Kav. 1, Slipi",Jakarta Barat,Mall,-6.17837455,106.7922761
1,ITC Roxy Mas,"Jl. Mangga Dua Raya, Jkt14430",Jakarta Barat,Mall,-6.166694,106.8030367
2,Mal Matahari Puri Daan Mogot,"Jl. Daan Mogot KM 16, Jakarta Barat",Jakarta Barat,Mall,-6.151165146,106.7144167
3,Lindeteves Trade Centre,Jl. Hayam Wuruk 127 Jakarta barat 11180,Jakarta Barat,Mall,-6.1464116,106.8163514
4,Seasons City,Prof. Dr. Latumenten No. 33,Jakarta Barat,Mall,-6.153106,106.7953758
5,Central Park,Jl. S. Parman Kav. 29,Jakarta Barat,Mall,-6.177304392,106.7906799
6,Grand Paragon,Jl.Gajah Mada No.126,Jakarta Barat,Mall,-6.1518293,106.8170007
7,Mall Taman Palem,"Jl.Lingkar Luar Barat,Kel.Cengkareng Timur, Kec.Cengkareng ",Jakarta Barat,Mall,-6.13935745,106.7317373
8,Mal Ciputra,"Jl. Arteri S. Parman, Grogol, Jakarta 11470",Jakarta Barat,Mall,-6.3823382,106.92613
9,Puri Agung,Jl. Lingkar Luar Barat No. 3 Cengkareng- Jakarta Barat,Jakarta Barat,Mall,-6.189478,106.5216215
10,Puri  X' tertaiment Pavilion (ST Moris),Jl. Puri Indah Boulevard Blok VI,Jakarta Barat,Mall,-6.187312713,106.7391369
11,Puri Indah Mall,"Jl. Puri Agung, Puri Indah, Jakarta 11610",Jakarta Barat,Mall,-6.1882573,106.7338897
12,Plaza Gajah Mada,"Jl. Gajah Mada No. 19-26, Jkt 10130",Jakarta Barat,Mall,-6.14314435,106.8156843
13,ITC Cempaka Mas Mega Grosir,Jl. Letjen Suprapto Kav. 1 Jakarta 10640,Jakarta Pusat,Mall,-6.164726317,106.8772994
14,Senayan City,Jl. Asia Afrika,Jakarta Pusat,Mall,-6.22731785,106.7971795
15,Plaza Senayan,Jl. Asia Afrika No. 8 Jakarta Pusat 10270,Jakarta Pusat,Mall,-6.22558405,106.7995999
16,Harco Pasar Baru,Jl. Hj. Samahudi No. 133 Jakarta,Jakarta Pusat,Mall,-6.16176065,106.8325172
17,Plaza Indonesia,Jl. M.H. Thamrin Kav. 28-30,Jakarta Pusat,Mall,-6.19308955,106.8218743
18,Jakarta Desain Center,"Jl. Gatot Subroto Kav. 53, slipi, Jkt 10260",Jakarta Pusat,Mall,-6.201707653,106.800843
19,Plaza Atrium,"Jl. Senen Raya No. 135, Jakarta 10410",Jakarta Pusat,Mall,-6.17665699,106.8411911
20,Glodok Plaza,"Jl. Pinangsia Raya, Jakarta 11180",Jakarta Pusat,Mall,-6.1423148,106.8167497
21,Istana Pasar Baru,"Jl. Pintu Air Raya No. 39,Jakarta 12150",Jakarta Pusat,Mall,-6.1638994,106.8328077
22,Menteng Huis,Jl. Raya Cikini Raya No. 2-4 Jakarta Pusat,Jakarta Pusat,Mall,-6.1878007,106.8364044
23,Grand Indonesia Shopping Town,Jl. MH. Thamrin Jkt 12150,Jakarta Pusat,Mall,-6.19571775,106.8216029
24,Plaza Kenari Mas,Jl. Kramat Raya No. 101,Jakarta Pusat,Mall,-6.1912732,106.8486494
25,Golden Truly,"Jl. Gunung Sahari No. 59, 10610",Jakarta Pusat,Mall,-6.16165475,106.8383967
26,The Arcade,Jl. Lingkar Mega kuningan Blok E4.2 No. 1,Jakarta Pusat,Mall,-6.227657463,106.8253991
27,Thamrin City,JL. Kebon kacang raya,Jakarta Pusat,Mall,-6.1947757,106.8165109
28,Pusat Perbelanjaan MGK Kemayoran,Jl.Angkasa Kav B6 Kota Baru Bandar Kemayoran Jak Pus,Jakarta Pusat,Mall,-6.155492063,106.8494312
29,Gedung Blok B Pusat Grosir Tanah Abang,"Jl.Fachrudin No.78,80,82 Tanah Abang Jakarta Pusat ",Jakarta Pusat,Mall,-6.210739356,106.8163971
30,Ciputra World Jakarta,"Jl. Prof Satrio Kav. 3, 5",Jakarta Selatan,Mall,-6.22184145,106.8194283
31,Plaza Blok M,"Jl. Bulungan 76, Kebayoran Baru",Jakarta Selatan,Mall,-6.24430805,106.797644
32,Pondok Indah Mall,Jl. Metro Pondok Indah Blok II-B,Jakarta Selatan,Mall,-6.26532765,106.7846567
33,Poins Square,"Jl. Lingkar Luar Selatan No. 1, Lebak Bulus, Jakarta Selatan ",Jakarta Selatan,Mall,-6.28990355,106.7779826
34,Mal Cilandak,"Jl. Raya Cilndak KKO, Cilandak Timur Jakarta 12560",Jakarta Selatan,Mall,-6.300489999,106.8141641
35,Cilandak Town Square,"Jl. TB Simatupang Kav. 17, Cilandak Barat 17430",Jakarta Selatan,Mall,-6.2914692,106.7999496
36,Plaza Kalibata,"Jl. Raya Kalibata, Jkt Selatan",Jakarta Selatan,Mall,-6.2573238,106.8570045
37,Pacific Place,"SCBD, Jl Jend. Sudirman Kav.52-53 Jakarta Selatan 12190",Jakarta Selatan,Mall,-6.224724827,106.8107475
38,AEON Mall Tanjung Barat,Jl.Tanjung Barat Jakarta Selatan,Jakarta Selatan,Mall,-6.305745551,106.8402888
39,Gandaria City,"Jl.KH.M.Syafi'I Haadzami No.8 Gandaria,Kel.Kebayoran Lama Utara Jakarta Selatan ",Jakarta Selatan,Mall,-6.2439607,106.783657
40,Grand ITC Permata Hijau,"Jl Arteri permata Hijau, Jkt Sel 12210",Jakarta Selatan,Mall,-6.2208616,106.7836149
41,The Plaza Semanggi,"Jl. Jend. Sudirman Kav. 50, Jakarta 12930",Jakarta Selatan,Mall,-6.219901811,106.8144896
42,Darmawangsa Square,"Jl. Darmawangsa VI & X, Jkt Sel",Jakarta Selatan,Mall,-6.2539123,106.8018157
43,Mall Blok M,Jl. Melawai V  RT/ RW 004/001,Jakarta Selatan,Mall,-6.2434974,106.7997395
44,Kota Casablanca,Jl. Casablanca Kav. 88,Jakarta Selatan,Mall,-6.276785,106.7197353
45,Blok M,"Jl.Hasanudin, KBY Baru, Jkt12160",Jakarta Selatan,Mall,-6.2448705,106.8009281
46,Plaza Mebel,Jl. Rs. Fatmawati Kav 5 Jkt 12420,Jakarta Selatan,Mall,-6.2649709,106.7970572
47,FX Lifestyle x'nter,Jl. Pintu I Senayan/ Jend. Sudirman Jakarta 10270,Jakarta Selatan,Mall,-6.224625036,106.8038035
48,Pertokoan Fatmawati,Jl.RS Fatmawati No.72 Pondok Labu,Jakarta Selatan,Mall,-6.26422321,106.7987274
49,Mall  Pejaten Village,Jl.Warung Jarti barat No.39 Jati Padang Pasar Minggu Jakarta Selatan,Jakarta Selatan,Mall,-6.2801864,106.8287068
50,Kalibata City,Gedung Rusunami Kalibata City Jl.Taman Makan Pahlawan No.1 Jakarta Selatan,Jakarta Selatan,Mall,-6.25688975,106.851828
51,Kuningan City,"Jl. Prof.Dr. Satrio Kav. 18, Jakarta Selatan",Jakarta Selatan,Mall,-6.22458785,106.8297643
52,Lifestyle Center (Epicentrum Kuningan),"Jl.HR.Taman Rasuna Said, Kel.Karet Kuningan, Kec.Setiabudi Jakarta Selatan ",Jakarta Selatan,Mall,-6.218088565,106.8353415
53,Kemang Village,"Jl.Kemang VI,Kel.Bangka Kec.Mampang Jakarta Selatan ",Jakarta Selatan,Mall,-6.2569178,106.8101607
54,ITC Fatmawati,Jl.RS Fatmawati No.39 Jakarta,Jakarta Selatan,Mall,-6.2642247,106.7986594
55,Mal Arion,Jl. Pemuda Kav. 3-4 Rawamangun,Jakarta Timur,Mall,-6.193992635,106.890477
56,Cibubur Junction,Jl. Jambore No. 1 Cibubur Jakarta Timur 13720,Jakarta Timur,Mall,-6.36960445,106.8941541
57,Plaza  Buaran,"Jl. Raden Inten II/ Klender Duren Sawit, Jkt 13470",Jakarta Timur,Mall,-6.21801105,106.9241761
58,Tamini Square,J. Taman Mini Raya Pinang Ranti,Jakarta Timur,Mall,-6.2916002,106.8809009
59,Plaza Pondok Gede,"Plaza Pondok Gede Ruko Blok C 14,15",Jakarta Timur,Mall,-6.2846968,106.911506
60,Pusat Grosir Cililitan,Jl. Mayjen sutoyo No. 76 Cililitan,Jakarta Timur,Mall,-6.2623318,106.8654911
61,Mall Cijantung,"Jl. Pendidikan I, Jakarta Timur ",Jakarta Timur,Mall,-6.31215105,106.8619111
62,Kramat Jati Indah Plaza,Jl. Raya Bogor KM 19 Kramat jati,Jakarta Timur,Mall,-6.27075129,106.8680839
63,Ujung Menteng,Jl.Raya Bekasi KM 25 Jakarta Timur,Jakarta Timur,Mall,-6.18655215,106.966587
64,Pulo Gadung Trade Center,"Jl.Raya Bekasi,KM 21 Jakarta",Jakarta Timur,Mall,-6.18334595,106.9156506
65,Grand Cakung,Jl.Hamengkubuwono IX/DH Jl.Raya Bekasi (Depan Giant Ujung Menteng),Jakarta Timur,Mall,-6.1864421,106.9585754
66,Cipinang Indah Mall,"Jl.Raya Kalimalang, Kel.Pondok Bambu, Kec. Duren Sawit Jakarta Timur ",Jakarta Timur,Mall,-6.23860065,106.8940805
67,POKETS,Jl.Kalimalang Raya Jakarta Timur,Jakarta Timur,Mall,-6.239895836,106.9348161
68,Mal Kelapa Gading,"Jl. Bulevard Kelapa Gading Blok M, Kelapa Gading Permai, Jkt 14240",Jakarta Utara,Mall,-6.157241907,106.9084193
69,Mangga Dua Mal,Jl. Arteri Mangga Dua Raya lt.5,Jakarta Utara,Mall,-6.1371465,106.8238857
70,ITC Mangga Dua,PT. Jakarta Sinar Intertrade,Jakarta Utara,Mall,-6.13540415,106.8247293
71,Pluit Village,Megamal 4th floor suite S02 Jl. Pluit Indah raya Jkt 14450,Jakarta Utara,Mall,-6.1162602,106.789693
72,Mal Artha Gading,"Jl. Boelevard Artha Gading Selatan No. 1, Kelapa Gading, jkt14240",Jakarta Utara,Mall,-6.145727155,106.8919404
73,Emporium Pluit Mall,Jl. Pluit Selatan Raya No. 1,Jakarta Utara,Mall,-6.12757855,106.790964
74,Mal of Indonesia,"Jl. Raya Boulevard Barat, Kelapa Gading Square",Jakarta Utara,Mall,-6.15072701,106.8917142
75,Mal Sunter,Jl. Danau Sunter Utara Blok G-7 Jakarta 14350,Jakarta Utara,Mall,-6.137985663,106.8708892
76,Sport Mall,Jl. Raya Kelapa Nias Blok HF No. 3,Jakarta Utara,Mall,-6.157187597,106.9084871
77,Pluit Junction,Jl. Pluit raya No. 1,Jakarta Utara,Mall,-6.12603005,106.7912764
78,Hypermall  (d/h KTC),Jl. Boelevard Barat Komp Inkopol Kelapa Gading jkt Utara 14240,Jakarta Utara,Mall,-6.155337729,106.8920979
79,La Piazza,Jl. Bolevar Kelapa gading Blok M,Jakarta Utara,Mall,-6.160176167,106.9066447
80,Koja Trade Mall (KTM),Jl.Kramat Jaya Jakarta Utara,Jakarta Utara,Mall,-6.122660448,106.9161524
81,WTC Mangga Dua,"Jl. Mangga Dua Raya No. 8, ",Jakarta Utara,Mall,-6.1337283,106.8306747
82,Baywalk Mall,"Jl.Pluit Utara Terusan, Kelurahan Pluit, Kecamatan Penjaringan",Jakarta Utara,Mall,-6.1079134,106.7796191
