Unnamed: 0,Name,Address,District,Type,Lat,Long
0,Ancol Station,,North Jakarta,Railway Station,-6.1280857,106.8448651
1,Angke Station,,West Jakarta,Railway Station,-6.1443972,106.8007617
2,Bojong Indah Station,,West Jakarta,Railway Station,-6.159932,106.736771
3,Buaran Station,,East Jakarta,Railway Station,-6.1785799,106.6433855
4,Cakung Station,,East Jakarta,Railway Station,-6.2190962,106.9522215
5,Cawang Station,,South Jakarta,Railway Station,-6.2424394,106.8586843
6,Cikini Station,,Central Jakarta,Railway Station,-6.1982336,106.8410674
7,Duren Kalibata Station,,"South Jakarta
",Railway Station,-6.2553463,106.8550913
8,Duri Station,,West Jakarta,Railway Station,-6.155848,106.8013272
9,Gambir Station,,Central Jakarta,Railway Station,-6.1766841,106.8306534
10,Gang Sentiong Station,,Central Jakarta,Railway Station,-6.1861427,106.8508907
11,Gondangdia Station,,North Jakarta,Railway Station,-6.1858204,106.8326229
12,Grogol Station,,West Jakarta,Railway Station,-6.1620074,106.7887323
13,Jakarta Gudang Station,,North Jakarta,Railway Station,-6.133309,106.8193388
14,Jatinegara Station,,East Jakarta,Railway Station,-6.2149252,106.8703394
15,Jayakarta Station,,Central Jakarta,Railway Station,-6.1411095,106.8230295
16,Juanda Station,,Central Jakarta,Railway Station,-6.1666746,106.8304609
17,Kalideres Station,,West Jakarta,Railway Station,-6.13634225,106.7135317
18,Kampung Bandan Station,,North Jakarta,Railway Station,-6.1323904,106.8283542
19,Karet Station,,Central Jakarta,Railway Station,-6.2007468,106.8158855
20,Kebayoran Station,,South Jakarta,Railway Station,-6.2275449,106.77169892496576
21,Kemayoran Station,,Central Jakarta,Railway Station,-6.161683,106.8415304
22,Klender Station,,East Jakarta,Railway Station,-6.2132687,106.8993934
23,Klender Baru Station,,East Jakarta,Railway Station,-6.2175818,106.9399504
24,Kramat Station,,Central Jakarta,Railway Station,-6.1937143,106.8565925
25,Lenteng Agung Station,,South Jakarta,Railway Station,-6.3299493,106.8345262
26,Mangga Besar Station,,North Jakarta,Railway Station,-6.1501432,106.8271025
27,Manggarai Station,,South Jakarta,Railway Station,-6.2101342,106.8500581
28,Palmerah Station,,Central Jakarta,Railway Station,-6.2072135,106.7975828
29,Pasar Minggu Station,,South Jakarta,Railway Station,-6.2826745,106.8449405
30,Pasar Minggu Baru Station,,South Jakarta,Railway Station,-6.2627967,106.8518071
31,Pasar Senen Station,,North Jakarta,Railway Station,-6.1744969,106.8444789
32,Pasoso Station,,North Jakarta,Railway Station,-6.1093399,106.8840579
33,Pegangsaan Dua Station,,North Jakarta,Railway Station,-6.1573434,106.9141849
34,Pesing Station,,West Jakarta,Railway Station,-6.161306,106.7723932
35,Rajawali Station,,North Jakarta,Railway Station,-6.1451326,106.836791
36,Rawa Buaya Station,,West Jakarta,Railway Station,-6.1626116,106.7233854
37,Sawah Besar Station,,Central Jakarta,Railway Station,-6.1609716,106.8277717
38,Jakarta Kota Station,,West Jakarta,Railway Station,-6.1375828,106.8146203
39,Matraman Station,,East Jakarta,Railway Station,-6.2124979,106.8598883
40,Pondok Jati Station,,East Jakarta,Railway Station,-6.2091282,106.8623592
41,Sudirman Baru Station,,Central Jakarta,Railway Station,-7.4269353,109.2367243
42,Sudirman Station,,Central Jakarta,Railway Station,-6.2024678,106.8237266
43,Sungai Lagoa Station,,North Jakarta,Railway Station,-6.1115415,106.8785738
44,Taman Kota Station,,West Jakarta,Railway Station,-6.1586641,106.7564642
45,Tanahabang Station,,North Jakarta,Railway Station,-6.3201864,106.665516
46,Tanjung Barat Station,,South Jakarta,Railway Station,-6.3084835,106.838831
47,Tanjung Priuk Station,,North Jakarta,Railway Station,-6.1105923,106.8816237
48,Tebet Station,,South Jakarta,Railway Station,-6.2260164,106.858396
49,Universitas Pancasila Station,,South Jakarta,Railway Station,-6.3389709,106.8343494
